title,description,source,publishedAt,sentiment,text_length
Elden Ring: Nightreign's The Forsaken Hollows DLC will see an iconic Dark Souls boss return - Eurogamer,Elden Ring: Nightreign DLC announced at Sony State of Play.,Eurogamer.net,2025-11-11 22:55:55+00:00,positive,59
Gemini in Google Drive can now make Audio Overviews of PDFs - 9to5Google,"After NotebookLM, Gemini, and Search, Audio Overviews are coming to Google Drive for conversational podcast-style summaries of PDFs.",9to5google.com,2025-11-11 23:24:00+00:00,neutral,132
"Octopath Traveler 0 Demo Now Available For Switch And Switch 2, Save Data Carries Over - Nintendo Life",Get a head start!,Nintendo Life,2025-11-12 02:05:00+00:00,neutral,17
"Microsoft Fixes 63 Security Flaws, Including a Windows Kernel Zero-Day Under Active Attack - The Hacker News","Microsoft fixes 63 flaws, including an exploited Windows Kernel zero-day and a critical RCE bug.",Internet,2025-11-12 10:21:00+00:00,negative,96
"Fei-Fei Li's World Labs speeds up the world model race with Marble, its first commercial product - TechCrunch","Marble is different from competitors like Odyssey, Decart, and Google's Genie because creates persistent, downloadable 3D environments rather than generating worlds on-the-fly as you explore.",TechCrunch,2025-11-12 13:44:01+00:00,positive,191
Sony’s new PlayStation gaming monitor has a charging stand for the DualSense controller - The Verge,Sony’s new 27-inch gaming monitor for the PlayStation 5 has a folding controller charger and an expected arrival in 2026.,The Verge,2025-11-12 13:58:33+00:00,neutral,121
"iPhone 18 Pro Max will be thicker and heavier than ever, says leaker - 9to5Mac","A new leak says the iPhone 18 Pro Max will get even thicker and heavier than iPhone 17 Pro Max, potentially giving users even more battery.",9to5Mac,2025-11-12 14:26:00+00:00,neutral,139
Even Realities G2 smart glasses bring a ‘spatial’ display and R1 controller ring - 9to5Google,"As competitors begin to flood the smart glasses market, Even Realities has unveiled the second addition to its lineup –...",9to5google.com,2025-11-12 15:56:00+00:00,positive,122
Where Winds Meet Review - IGN,An action RPG amusement park where every ride is being run at half speed.,IGN,2025-11-12 16:02:04+00:00,positive,73
Hideo Kojima Throws Cartoonist Under The Bus After Controversy - Kotaku,The Death Stranding 2 director wanted to correct 'misunderstandings' on social media,Kotaku,2025-11-12 16:40:51+00:00,negative,84
The Best Tech Gifts of 2025 - Gizmodo,"Discover the Best Tech Gifts of 2025, from smart gadgets to must-have devices. Find cool holiday gift ideas and be the perfect Santa!",Gizmodo.com,2025-11-12 17:02:00+00:00,positive,133
'$230 for a cut-up sock' - Apple's new iPhone Pocket ridiculed online - BBC,"Many took aim at the high price online, while others made fun of its striking likeness to a piece of footwear.",BBC News,2025-11-12 17:47:37+00:00,positive,110
"Elon Musk’s X botched its security key switchover, locking users out - TechCrunch","As part of an effort to retire the old Twitter.com domain, X is requiring passkey and security key users to re-enroll — but are getting stuck in endless loops and unable to finish.",TechCrunch,2025-11-12 19:40:08+00:00,negative,180
"Apple's passport-based Digital ID lands on iPhone and Apple Watch, starting at TSA - Axios",Users can create an ID in Apple Wallet using U.S. passport information.,Axios,2025-11-12 21:21:46+00:00,positive,71
"Steam's new VR headset, Steam Frame, will support Android games - GamesIndustry.biz","Valve has announced its new wireless VR headset, Steam Frame, will support Android games.",GamesIndustry.biz,2025-11-12 21:43:14+00:00,positive,89
Here’s how to photograph the northern lights lighting up St. Louis skies this week - STLPR,Are you chasing the northern lights in Missouri and Illinois? St. Louis Public Radio Visuals Editor Brian Munoz shares how to spot the rare show — and document it on your phone or camera while it lasts.,Stlpr.org,2025-11-12 22:36:14+00:00,positive,202
OpenAI walks a tricky tightrope with GPT-5.1’s eight new personalities - Ars Technica,New controls attempt to please critics on both sides with a balance between bland and habit-forming.,Ars Technica,2025-11-12 22:54:47+00:00,neutral,100
"The Next Horizon Game Is an MMO by NCSOFT for PC, Mobile - Push Square",Announcement leaks early,Push Square,2025-11-13 01:30:00+00:00,neutral,24
